"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"05/14/2017","67","Ozone","Reseda","06-037-1201","AQS"
"05/15/2017","52","PM2.5","Reseda","06-037-1201","AQS"
"05/16/2017","54","PM2.5","Reseda","06-037-1201","AQS"
"05/17/2017","59","PM2.5","Reseda","06-037-1201","AQS"
"05/18/2017","61","NO2","Pico Rivera #2","06-037-1602","AQS"
"05/19/2017","84","Ozone","Azusa","06-037-0002","AQS"
"05/20/2017","122","Ozone","West Los Angeles","06-037-0113","AQS"
"05/21/2017","143","Ozone","Azusa","06-037-0002","AQS"
"05/22/2017","154","Ozone","Santa Clarita","06-037-6012","AQS"
"05/23/2017","112","Ozone","Reseda","06-037-1201","AQS"
"05/24/2017","119","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"05/25/2017","54","PM2.5","Reseda","06-037-1201","AQS"
"05/26/2017","45","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"05/27/2017","64","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"05/28/2017","108","Ozone","Reseda","06-037-1201","AQS"
"05/29/2017","97","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"05/30/2017","93","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"05/31/2017","80","PM2.5","Reseda","06-037-1201","AQS"
"06/01/2017","93","Ozone","Santa Clarita","06-037-6012","AQS"
"06/02/2017","136","Ozone","Azusa","06-037-0002","AQS"
"06/03/2017","169","Ozone","Santa Clarita","06-037-6012","AQS"
"06/04/2017","150","Ozone","Azusa","06-037-0002","AQS"
"06/05/2017","101","Ozone","Reseda","06-037-1201","AQS"
"06/06/2017","80","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS"
"06/07/2017","101","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"06/08/2017","77","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"06/09/2017","50","Ozone","Azusa","06-037-0002","AQS"
"06/10/2017","47","PM2.5","Reseda","06-037-1201","AQS"
"06/11/2017","48","PM2.5","Reseda","06-037-1201","AQS"
"06/12/2017","44","Ozone","Azusa","06-037-0002","AQS"
"06/13/2017","93","Ozone","Reseda","06-037-1201","AQS"
"06/14/2017","159","Ozone","Santa Clarita","06-037-6012","AQS"
"06/15/2017","143","Ozone","Santa Clarita","06-037-6012","AQS"
"06/16/2017","195","Ozone","Santa Clarita","06-037-6012","AQS"
"06/17/2017","190","Ozone","Santa Clarita","06-037-6012","AQS"
"06/18/2017","164","Ozone","Santa Clarita","06-037-6012","AQS"
"06/19/2017","172","Ozone","Santa Clarita","06-037-6012","AQS"
"06/20/2017","197","Ozone","Santa Clarita","06-037-6012","AQS"
